,c,h,l,o,s,t,v,Date
0,77.669998168945,78.440002441406,77.169998168945,78.349998474121,ok,1596412800,42628816,2020-08-03
1,85.040000915527,85.769996643066,78.019996643066,78.069999694824,ok,1596499200,155676112,2020-08-04
2,85.309997558594,86.319999694824,83.370002746582,85.01000213623,ok,1596585600,65737304,2020-08-05
3,86.709999084473,86.959999084473,84.809997558594,85.48999786377,ok,1596672000,53961740,2020-08-06
4,84.849998474121,87.290000915527,82.670196533203,86.669998168945,ok,1596758400,66543200,2020-08-07
5,82.23999786377,84.970001220703,79.389999389648,84.959999084473,ok,1597017600,70536144,2020-08-10
6,76.879997253418,80.529998779297,76.199996948242,80.480003356934,ok,1597104000,77877664,2020-08-11
7,82.610000610352,82.870002746582,77.580001831055,78.430000305176,ok,1597190400,88607832,2020-08-12
8,81.839996337891,83.98999786377,81.550003051758,83.029998779297,ok,1597276800,57407356,2020-08-13
9,81.300003051758,83.23999786377,80.879997253418,81.809997558594,ok,1597363200,42389500,2020-08-14
10,82.419998168945,83.059997558594,81.559997558594,82.139999389648,ok,1597622400,31450156,2020-08-17
11,81.660003662109,82.800003051758,81.029998779297,82.800003051758,ok,1597708800,30970484,2020-08-18
12,81.089996337891,81.800003051758,80.470001220703,81.699996948242,ok,1597795200,37507392,2020-08-19
13,82.769996643066,82.830001831055,79.169998168945,79.169998168945,ok,1597881600,42948860,2020-08-20
14,83.809997558594,84.410003662109,82.230003356934,83.290000915527,ok,1597968000,48280300,2020-08-21
15,83.080001831055,85.279998779297,82.559997558594,84.709999084473,ok,1598227200,38036068,2020-08-24
16,86.349998474121,86.610000610352,82.430000305176,83.25,ok,1598313600,49234400,2020-08-25
17,86.019996643066,87.669998168945,85.199996948242,87.069999694824,ok,1598400000,47157272,2020-08-26
18,83.800003051758,86.529998779297,82.949996948242,86.150001525879,ok,1598486400,42194224,2020-08-27
19,85.550003051758,86.040000915527,84.190002441406,84.300003051758,ok,1598572800,40723300,2020-08-28
20,90.819999694824,92.639999389648,85.25,85.309997558594,ok,1598832000,90655944,2020-08-31
